TEAM,Prediction
Illinois,2.88
Duke,2.57
Creighton,2.31
Auburn,2.2
Alabama,2.19
St John's,2.18
Michigan St,1.99
UCSD,1.9
Florida,1.9
Tennessee,1.72
Kentucky,1.72
Houston,1.58
Maryland,1.45
Iowa St,1.42
Purdue,1.3
Drake,1.19
Clemson,1.16
Gonzaga,1.14
Texas A&M,1.13
Liberty,1.09
VCU,0.95
High Point,0.94
Wisconsin,0.89
Arizona,0.86
Saint Mary's,0.85
Marquette,0.84
Texas Tech,0.84
Lipscomb,0.75
UCLA,0.74
Utah St,0.73
Grand Canyon,0.72
UConn,0.68
Memphis,0.65
McNeese,0.63
Louisville,0.62
Missouri,0.58
Kansas,0.57
Michigan,0.57
New Mexico,0.56
Wofford,0.54
Oklahoma,0.5
BYU,0.5
Mississippi,0.49
North Carolina,0.49
Akron,0.43
Oregon,0.43
Omaha,0.39
Xavier,0.38
Montana,0.38
Baylor,0.33
Troy,0.32
Vanderbilt,0.31
Yale,0.29
Mississippi St,0.29
Bryant,0.26
Alabama St,0.25
NC Wilmington,0.25
St Francis PA,0.23
American,0.23
Colorado St,0.18
Arkansas,0.16
San Diego St,0.16
SIU Edward,0.14
Texas,0.14
Georgia,0.12
Mt St Mary's,0.08
Norfolk St,0.06
Robert Morris,0.03
