Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Winthrop,0.477,0.402,0.167,0.553,0.43,0.500
2,Missouri,0.471,0.488,0.578,0.5,0.432,0.317
3,Longwood,0.454,0.403,0.689,0.521,0.404,0.392
4,South Dakota,0.454,0.472,0.439,0.509,0.414,0.305
5,Temple,0.452,0.574,0.618,0.497,0.422,0.321
6,Ball St,0.445,0.199,0.254,0.506,0.391,0.382
7,Grand Canyon,0.44,0.509,0.611,0.443,0.437,0.467
8,Charleston So,0.439,0.281,0.232,0.456,0.431,0.314
9,Rice,0.433,0.378,0.4,0.417,0.447,0.299
10,South Carolina,0.433,0.365,0.305,0.458,0.399,0.318
11,Drake,0.432,0.529,0.522,0.43,0.434,0.323
12,S Carolina St,0.429,0.274,0.194,0.468,0.412,0.365
13,Charlotte,0.427,0.513,0.357,0.43,0.425,0.352
14,George Mason,0.425,0.44,0.692,0.522,0.32,0.367
15,Seattle,0.423,0.565,0.309,0.395,0.441,0.346
16,Utah Valley,0.42,0.46,0.466,0.451,0.406,0.354
17,Texas A&M,0.415,0.467,0.35,0.454,0.378,0.386
18,Tarleton St,0.415,0.358,0.364,0.464,0.387,0.304
19,Oklahoma St,0.415,0.33,0.371,0.438,0.391,0.340
20,Tennessee St,0.414,0.377,0.404,0.511,0.351,0.380
21,Radford,0.413,0.429,0.286,0.514,0.358,0.280
22,Murray St,0.412,0.322,0.446,0.447,0.395,0.296
23,Rhode Island,0.411,0.353,0.567,0.436,0.382,0.394
24,G Washington,0.408,0.453,0.4,0.375,0.441,0.342
25,Alabama,0.401,0.332,0.343,0.434,0.374,0.353
26,Georgia,0.401,0.477,0.483,0.427,0.369,0.363
27,Hawai'i,0.399,0.395,0.386,0.418,0.368,0.390
28,NC Central,0.398,0.444,0.521,0.447,0.373,0.403
29,Oklahoma,0.396,0.408,0.29,0.386,0.407,0.377
30,Memphis,0.394,0.462,0.338,0.405,0.386,0.363
31,Florida St,0.394,0.339,0.519,0.404,0.384,0.368
32,CS Fullerton,0.392,0.293,0.167,0.355,0.421,0.386
33,Boise St,0.392,0.344,0.286,0.409,0.378,0.351
34,Norfolk St,0.39,0.433,0.708,0.386,0.392,0.417
35,Oregon St,0.389,0.467,0.463,0.368,0.415,0.356
36,California,0.389,0.458,0.283,0.428,0.348,0.292
37,Kennesaw St,0.388,0.432,0.426,0.436,0.356,0.354
38,Elon,0.388,0.293,0.404,0.441,0.354,0.328
39,Alabama A&M,0.386,0.279,0.255,0.434,0.34,0.472
40,Iowa St,0.385,0.228,0.106,0.423,0.344,0.354
41,Robert Morris,0.384,0.404,0.452,0.421,0.347,0.280
42,UC Davis,0.383,0.319,0.315,0.439,0.348,0.382
43,Southern,0.381,0.404,0.217,0.466,0.346,0.356
44,Milwaukee,0.38,0.389,0.222,0.428,0.34,0.340
45,Penn St,0.379,0.35,0.345,0.394,0.361,0.353
46,Dayton,0.378,0.251,0.357,0.405,0.35,0.367
47,Michigan St,0.378,0.456,0.407,0.388,0.369,0.293
48,Troy,0.378,0.523,0.65,0.4,0.362,0.413
49,New Mexico,0.378,0.351,0.286,0.406,0.352,0.332
50,Le Moyne,0.377,0.298,0.396,0.397,0.364,0.253
51,Morehead St,0.376,0.356,0.215,0.35,0.391,0.306
52,VMI,0.375,0.385,0.523,0.391,0.367,0.276
53,Jackson St,0.375,0.444,0.278,0.423,0.357,0.347
54,NC Wilmington,0.374,0.324,0.238,0.406,0.343,0.329
55,Nevada,0.373,0.373,0.309,0.374,0.372,0.450
56,Siena,0.373,0.365,0.305,0.407,0.345,0.308
57,Butler,0.373,0.173,0.291,0.425,0.319,0.267
58,High Point,0.372,0.208,0.208,0.379,0.365,0.433
59,Abl Christian,0.372,0.249,0.258,0.357,0.383,0.379
60,Green Bay,0.37,0.421,0.246,0.441,0.321,0.294
